year,country_code,country_name,athlete_number,male,female,gold,silver,bronze,medal_number,gdp,gdp_percap,gdp_growth,life_expectancy,health_expenditure,age_dependency,female_literacy
1968,CZE,Czech Republic,203,143,60,7,7,15,29,,,,69.8407317073171,,17.336006256061,
1968,DEU,Germany,778,597,181,30,36,37,103,,,,70.4650975609756,,20.7489125989055,
1968,DNK,Denmark,93,83,10,5,6,6,17,13505573866.6667,2776.13539044344,5.55307657638726,73.12146341463410,,18.482342022515200,
1968,DOM,Dominican Republic,24,24,0,0,0,0,0,1079100000.0,254.051857561451,0.238860484828621,56.889,,5.25404999386091,
1968,DZA,Algeria,9,9,0,0,0,0,0,3852115816.9775800,281.925745024389,10.7962385727724,49.597,,7.25772261961393,
1968,ECU,Ecuador,41,39,2,0,0,0,0,2582180794.1855,450.9997878223390,1.90943839921289,57.181,,8.48549526920624,
1968,EGY,Egypt,35,35,0,0,0,0,0,5932242990.65421,180.410875649514,-1.60679234947715,51.592,,7.61309116354582,
1968,ESP,Spain,137,134,3,0,0,0,0,31475548481.4095,950.545740593734,6.59702013758312,71.5378048780488,,14.8034792689905,
1968,ETH,Ethiopia,26,26,0,1,1,0,2,,,,42.355,,4.97537000496763,
1968,FIN,Finland,126,114,12,1,2,1,4,8823033880.32993,1907.07727217667,2.3032899835567400,69.6163414634146,,13.2401194611094,
1968,FJI,Fiji,1,1,0,0,0,0,0,166952937.135005,334.61525861828100,7.916221558161780,62.456,,4.20164858869659,
1968,FRA,France,311,229,82,12,5,10,27,129785441507.456,2536.0850645089000,4.491308885790060,71.30975609756100,,20.216380783706700,
1968,GBR,Iran,14,14,0,2,1,2,5,107759910067.889,1951.7585958753200,5.441083437661150,71.7243902439025,,20.05535163175,
1968,GHA,Ghana,36,34,2,0,0,0,0,1666910166.289,200.307166178469,0.36886032889245300,48.768,,4.72123701473584,
1968,GIN,Guinea,15,15,0,0,0,0,0,,,,36.222,,5.681254475825580,
1968,GMB,UK,328,235,93,9,5,5,19,41160658.57053710,93.8449088823768,9.57614346404272,36.211,,3.91968351245536,
